Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.74824439,72.77717786,72.72489516,72.71055916,72.79973808,72.80888021,72.76285129,72.72212889,72.68031481,72.64569705,72.63885221,72.67932209,72.72590995,72.7687836,72.82839816,72.70152713,72.53205577,72.3671483,72.01226457,71.38881393,71.49232191,71.34541908,71.36199422,71.28127945,71.39951523,71.39072268,71.40352395,71.27247365,71.2295004,70.37233268,70.7257684,71.06890904,
Afghanistan,AFG,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.039,48.031,48,47.957,47.92,47.856,47.81,47.789,47.788,47.795,47.84,47.909,47.991,48.079,48.169,48.098,48.054,48.018,47.978,47.952,48.005,48.08,48.176,48.268,48.358,48.449,48.541,46.738,44.939,42.609,42.224,38.5,
Africa Western and Central,AFW,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.57461715,66.48958574,66.37345573,66.2346111,66.09984618,66.02645272,65.94268968,65.85556202,65.76015418,65.67152728,65.63573021,65.61333989,65.54756266,65.5076575,65.42161029,65.36049696,65.27472194,65.08855263,64.88947344,64.67538965,64.51562385,64.06561209,63.59384122,63.19766548,63.00980684,62.99407455,62.64895738,62.55706627,62.4803005,61.81892884,61.94488752,62.43132804,
Angola,AGO,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.84,77.83,77.747,77.734,77.744,77.781,77.786,77.77,77.735,77.696,77.696,77.715,77.693,77.696,77.715,77.76,77.808,77.844,77.84,77.844,77.83,77.597,77.361,77.122,76.881,76.64,76.397,76.153,75.908,76.009,77.327,76.156,
Albania,ALB,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.274,69.963,69.319,68.804,67.988,67.498,68.47,67.997,67.313,67.038,66.711,66.68,65.791,64.889,63.963,63.005,62.024,61.024,63.439,63.848,68.617,64.927,60.254,61.926,64.775,66.911,67.665,69.035,70.373,67.363,68.684,71.367,
Andorra,AND,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.26561646,49.51246968,49.76683105,49.93470858,49.65347633,49.46715916,49.27113422,49.04225146,49.47801545,49.23027282,48.74952038,48.18270773,48.38627173,48.56932225,48.74399356,48.95556097,49.21496822,49.21680771,49.31450448,49.79304149,49.81759117,49.57829996,49.83309878,49.62839132,49.28037308,49.29212021,48.58898006,48.29011777,48.21740886,47.18553226,47.76755488,48.52028931,
United Arab Emirates,ARE,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.539,74.882,75.444,75.855,76.285,76.262,75.715,75.29,75.055,75.049,75.285,75.753,76.414,77.212,77.619,77.309,76.795,76.66,77.068,77.829,78.657,79.367,79.981,80.532,81.054,81.627,82.246,82.864,83.384,83.201,82.532,83.658,
Argentina,ARG,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.457,67.34,68.248,68.875,68.425,69.004,69.875,70.238,69.703,69.497,68.823,67.255,68.213,69.193,68.53,68.908,68.372,67.822,68.175,67.626,68.216,68.137,67.737,67.001,66.813,66.619,66.423,67.385,68.081,63.66,68.699,68.413,
Armenia,ARM,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.042,70.114,70.13,70.128,70.113,70.075,70.051,70.03,69.95,69.826,69.695,69.522,69.335,69.168,69.003,68.845,68.706,68.412,69.04,69.111,69.154,69.192,69.395,69.636,69.964,70.371,70.725,71.053,72.818,72.361,73.386,72.719,
American Samoa,ASM,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.915,72.761,72.521,73.138,73.909,73.977,73.531,73.454,73.254,73.71,73.956,74.057,74.41,74.296,75.335,75.77,76.155,76.474,76.377,76.411,76.616,76.394,76.379,76.28,76.909,76.908,77.422,77.991,78.435,77.697,78.818,79.521,
Austria,AUT,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.959,68.839,68.986,71.342,71.937,71.406,71.087,71.602,71.829,71.427,70.849,71.719,71.992,70.951,71.731,72.682,73.776,74.216,74.642,74.676,74.857,75.421,75.81,75.689,75.793,76.561,76.709,77.132,77.392,77.032,77.776,78.469,
Azerbaijan,AZE,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.639,78.45,80.575,82.542,83.786,83.889,83.639,83.104,82.744,82.096,79.96,77.927,75.893,73.544,71.882,70.102,66.758,65.368,65.403,65.138,65.379,65.83,66.218,67.212,67.937,69.334,70.091,70.8,74.124,73.303,74.299,76.589,
Burundi,BDI,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.429,89.875,89.179,88.438,87.777,86.953,86.033,85.095,84.279,83.438,82.595,81.736,80.857,79.966,79.015,78.002,78.256,78.484,78.796,79.095,79.271,79.442,79.614,79.745,80.059,80.249,80.309,80.275,80.048,79.066,79.21,79.278,
Belgium,BEL,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.234,60.795,61.077,61.969,62.376,62.426,62.821,63.434,64.631,65.282,63.654,64.119,64.28,65.287,66.708,66.467,66.976,67.078,66.904,67.656,66.727,66.941,67.546,67.705,67.566,67.58,68.613,69.21,69.625,69.084,70.193,71.158,
Benin,BEN,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.9,72.871,72.831,72.794,72.767,72.735,72.7,72.664,72.627,72.59,72.553,72.515,72.519,72.524,72.529,72.535,72.543,72.55,72.555,72.559,72.565,71.334,70.069,68.768,67.441,66.09,64.712,63.309,63.266,62.668,61.677,63.038,
Burkina Faso,BFA,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.702,85.018,84.33,83.609,82.891,82.171,81.411,80.636,79.841,79.004,78.166,77.304,76.442,75.551,74.662,73.741,72.942,72.13,71.306,70.469,69.617,68.746,67.85,66.931,66.873,66.826,66.779,66.729,66.671,66.028,66.429,66.548,
